language,crawl_date,0
bg,20200418,107
bg,20200419,132
bg,20200420,220
bg,20200421,75
bg,20200422,65
bg,20200423,56
bg,20200424,278
bg,20200425,116
bg,20200426,36
bg,20200429,6
bg,20200430,18
bg,20200501,19
bg,20200502,74
bg,20200503,33
bg,20200504,3
bg,20200505,22
bg,20200506,40
bg,20200507,44
bg,20200508,14
bg,20200509,92
bg,20200510,80
bg,20200511,116
bg,20200512,106
bg,20200513,28
bg,20200515,12
bg,20200516,6
bg,20200518,1
bg,20200522,5
bg,20200523,7
bg,20200526,2
bg,20200529,3
bg,20200607,3
bg,20200616,1
bg,20200617,14
bg,20200618,12
bg,20200715,3
bg,20200717,2
bg,20200720,1
bg,20200722,30
bg,20200723,180
bg,20200724,115
bg,20200725,3
bg,20200727,6
bg,20200728,4
bg,20200805,14
bg,20200806,6
bg,20200807,1
bg,20200810,12
bg,20200811,4
bg,20200824,15
bg,20200825,4
bg,20200907,2
bg,20200908,6
bg,20200925,9
bg,20201007,2
bg,20201008,1
bg,20201009,1
bg,20201016,4
bg,20201017,1
bg,20201023,2
bg,20201024,4
bg,20201027,75
bg,20201028,1
bg,20201105,1
bg,20201116,2
bg,20201123,1
bg,20201130,2
bg,20201202,41
bg,20201203,23
bg,20201211,1
bg,20201212,1
bg,20201218,7
bg,20201219,33
bg,20201221,6
bg,20201222,113
bg,20201223,18
bg,20201224,3
bg,20210129,8
bg,20210130,65
bg,20210131,49
bg,20210215,10
bg,20210216,25
bg,20210225,2
bg,20210226,1
bg,20210301,3
bg,20210305,2
bg,20210306,37
bg,20210308,5
bg,20210309,147
bg,20210310,115
bg,20210315,1
bg,20210316,1
bg,20210319,4
bg,20210402,1
bg,20210412,14
bg,20210413,178
bg,20210414,56
bg,20210415,20
bg,20210422,8
bg,20210423,43
bg,20210424,68
bg,20210516,3
bg,20210517,1
bg,20210518,1
bg,20210620,1
bg,20210701,2
bg,20210702,2
bg,20210704,2
bg,20210712,1
bg,20210716,1
bg,20210717,1
bn,20200221,7
bn,20200222,94
bn,20200223,1
bn,20200225,6
bn,20200226,5
bn,20200305,4
bn,20200306,4
bn,20200307,2
bn,20200309,1
bn,20200310,2
bn,20200314,1
bn,20200315,34
bn,20200316,35
bn,20200317,8
bn,20200318,2
bn,20200319,2
bn,20200320,3
bn,20200321,13
bn,20200322,60
bn,20200323,53
bn,20200324,20
bn,20200325,4
bn,20200326,5
bn,20200327,22
bn,20200328,13
bn,20200329,14
bn,20200330,13
bn,20200331,4
